"Date","Price","Open","High","Low","Change %"
"Mar 08, 2020","7.8700","7.8596","7.8756","7.8572","0.59%"
"Mar 06, 2020","7.8236","7.7993","7.8667","7.7792","0.33%"
"Mar 05, 2020","7.7976","7.7118","7.8017","7.7077","1.10%"
"Mar 04, 2020","7.7130","7.7755","7.7858","7.6875","-0.84%"
"Mar 03, 2020","7.7786","7.7539","7.8160","7.7443","0.37%"
"Mar 02, 2020","7.7503","7.6934","7.7872","7.6934","0.53%"
"Feb 28, 2020","7.7096","7.7058","7.7237","7.6528","0.06%"
"Feb 27, 2020","7.7049","7.6430","7.7098","7.6395","0.83%"
"Feb 26, 2020","7.6413","7.6319","7.6573","7.6200","0.13%"
"Feb 25, 2020","7.6314","7.6296","7.6391","7.5963","0.02%"
"Feb 24, 2020","7.6297","7.6172","7.6431","7.5962","0.12%"
"Feb 21, 2020","7.6208","7.5755","7.6349","7.5748","0.62%"
"Feb 20, 2020","7.5736","7.5620","7.6007","7.5579","0.15%"
"Feb 19, 2020","7.5623","7.5497","7.5779","7.5430","0.14%"
"Feb 18, 2020","7.5514","7.5674","7.5927","7.5492","-0.18%"
"Feb 17, 2020","7.5647","7.5675","7.5766","7.5559","-0.05%"
"Feb 14, 2020","7.5682","7.5637","7.5885","7.5546","0.05%"
"Feb 13, 2020","7.5641","7.5809","7.6034","7.5572","-0.22%"
"Feb 12, 2020","7.5806","7.6042","7.6194","7.5750","-0.31%"
"Feb 11, 2020","7.6041","7.6192","7.6234","7.5943","-0.22%"
"Feb 10, 2020","7.6207","7.6678","7.6711","7.6178","-0.55%"
"Feb 07, 2020","7.6631","7.6559","7.6870","7.6524","0.11%"
"Feb 06, 2020","7.6543","7.6704","7.6780","7.6425","-0.21%"
"Feb 05, 2020","7.6705","7.7305","7.7366","7.6659","-0.76%"
"Feb 04, 2020","7.7291","7.7649","7.7684","7.7207","-0.47%"
"Feb 03, 2020","7.7658","7.6954","7.7850","7.6863","0.91%"
"Jan 31, 2020","7.6955","7.6525","7.6976","7.6414","0.56%"
"Jan 30, 2020","7.6525","7.6373","7.6581","7.6345","0.19%"
"Jan 29, 2020","7.6380","7.6463","7.6505","7.6247","-0.10%"
"Jan 28, 2020","7.6456","7.6434","7.6490","7.6289","0.03%"
"Jan 27, 2020","7.6435","7.6442","7.6567","7.6366","-0.05%"
"Jan 24, 2020","7.6476","7.6684","7.6741","7.6441","-0.26%"
"Jan 23, 2020","7.6677","7.6589","7.7027","7.6499","0.08%"
"Jan 22, 2020","7.6616","7.6563","7.6692","7.6424","0.09%"
"Jan 21, 2020","7.6544","7.6200","7.6758","7.6152","0.47%"
"Jan 20, 2020","7.6188","7.6077","7.6208","7.5908","0.15%"
"Jan 17, 2020","7.6075","7.6597","7.6626","7.6048","-0.70%"
"Jan 16, 2020","7.6610","7.6851","7.6914","7.6548","-0.30%"
"Jan 15, 2020","7.6840","7.6620","7.6923","7.6586","0.30%"
"Jan 14, 2020","7.6613","7.6752","7.6814","7.6444","-0.19%"
"Jan 13, 2020","7.6762","7.6976","7.6983","7.6554","-0.25%"
"Jan 10, 2020","7.6956","7.6991","7.7074","7.6738","-0.04%"
"Jan 09, 2020","7.6985","7.7123","7.7207","7.6887","-0.21%"
"Jan 08, 2020","7.7145","7.7466","7.7652","7.7116","-0.42%"
"Jan 07, 2020","7.7467","7.8095","7.8122","7.7317","-0.83%"
"Jan 06, 2020","7.8117","7.7790","7.8136","7.7699","0.47%"
"Jan 03, 2020","7.7749","7.7804","7.7910","7.7530","-0.08%"
"Jan 02, 2020","7.7812","7.8022","7.8266","7.7743","-0.33%"
"Jan 01, 2020","7.8072","7.8114","7.8155","7.8050","0.00%"
"Dec 31, 2019","7.8072","7.8250","7.8387","7.7987","-0.22%"
"Dec 30, 2019","7.8245","7.8178","7.8419","7.8083","0.07%"
