"Date","Price","Open","High","Low","Change %"
"Mar 08, 2020","8.8243","8.8120","8.8301","8.8094","0.59%"
"Mar 06, 2020","8.7721","8.7361","8.8230","8.7134","0.41%"
"Mar 05, 2020","8.7360","8.6550","8.7407","8.6410","0.94%"
"Mar 04, 2020","8.6549","8.6814","8.6936","8.6212","-0.31%"
"Mar 03, 2020","8.6822","8.6628","8.7181","8.6303","0.23%"
"Mar 02, 2020","8.6620","8.5769","8.7054","8.5769","0.78%"
"Feb 28, 2020","8.5952","8.5728","8.6151","8.5343","0.26%"
"Feb 27, 2020","8.5729","8.4823","8.5783","8.4780","1.10%"
"Feb 26, 2020","8.4795","8.4761","8.5011","8.4580","0.04%"
"Feb 25, 2020","8.4765","8.4600","8.4862","8.4373","0.20%"
"Feb 24, 2020","8.4599","8.4425","8.4747","8.4190","0.17%"
"Feb 21, 2020","8.4454","8.3915","8.4620","8.3904","0.66%"
"Feb 20, 2020","8.3900","8.3990","8.4217","8.3806","-0.11%"
"Feb 19, 2020","8.3990","8.3835","8.4050","8.3787","0.19%"
"Feb 18, 2020","8.3830","8.4166","8.4194","8.3791","-0.40%"
"Feb 17, 2020","8.4169","8.4139","8.4278","8.4062","0.03%"
"Feb 14, 2020","8.4145","8.4209","8.4375","8.4108","-0.07%"
"Feb 13, 2020","8.4208","8.4497","8.4593","8.4134","-0.34%"
"Feb 12, 2020","8.4494","8.4770","8.4890","8.4434","-0.32%"
"Feb 11, 2020","8.4769","8.4732","8.4853","8.4574","0.04%"
"Feb 10, 2020","8.4733","8.5040","8.5107","8.4709","-0.32%"
"Feb 07, 2020","8.5002","8.5281","8.5295","8.4970","-0.30%"
"Feb 06, 2020","8.5259","8.5381","8.5509","8.5107","-0.14%"
"Feb 05, 2020","8.5379","8.5767","8.5802","8.5346","-0.45%"
"Feb 04, 2020","8.5765","8.5885","8.5961","8.5674","-0.15%"
"Feb 03, 2020","8.5894","8.6145","8.6171","8.5703","-0.29%"
"Jan 31, 2020","8.6144","8.5678","8.6166","8.5572","0.54%"
"Jan 30, 2020","8.5678","8.5579","8.5752","8.5495","0.11%"
"Jan 29, 2020","8.5586","8.5709","8.5762","8.5432","-0.14%"
"Jan 28, 2020","8.5703","8.5696","8.5785","8.5525","0.01%"
"Jan 27, 2020","8.5694","8.5654","8.5836","8.5617","0.00%"
"Jan 24, 2020","8.5693","8.5920","8.5991","8.5647","-0.25%"
"Jan 23, 2020","8.5911","8.6193","8.6353","8.5778","-0.33%"
"Jan 22, 2020","8.6196","8.6128","8.6273","8.6049","0.08%"
"Jan 21, 2020","8.6126","8.6205","8.6405","8.6096","-0.08%"
"Jan 20, 2020","8.6198","8.6154","8.6252","8.6035","0.06%"
"Jan 17, 2020","8.6146","8.6553","8.6610","8.6126","-0.47%"
"Jan 16, 2020","8.6556","8.6659","8.6868","8.6484","-0.11%"
"Jan 15, 2020","8.6655","8.6553","8.6765","8.6459","0.12%"
"Jan 14, 2020","8.6549","8.6526","8.6642","8.6355","0.03%"
"Jan 13, 2020","8.6527","8.6401","8.6629","8.6311","0.17%"
"Jan 10, 2020","8.6377","8.6265","8.6450","8.6093","0.13%"
"Jan 09, 2020","8.6265","8.6342","8.6473","8.6152","-0.11%"
"Jan 08, 2020","8.6358","8.6755","8.6858","8.6325","-0.46%"
"Jan 07, 2020","8.6760","8.6980","8.7055","8.6571","-0.28%"
"Jan 06, 2020","8.7005","8.6875","8.7079","8.6707","0.20%"
"Jan 03, 2020","8.6832","8.7007","8.7073","8.6526","-0.22%"
"Jan 02, 2020","8.7023","8.7335","8.7483","8.6945","-0.37%"
"Jan 01, 2020","8.7343","8.7346","8.7439","8.7299","-0.00%"
"Dec 31, 2019","8.7347","8.7202","8.7528","8.7164","0.15%"
"Dec 30, 2019","8.7212","8.7015","8.7389","8.6985","0.21%"
"Dec 27, 2019","8.7027","8.6424","8.7128","8.6407","0.69%"
"Dec 26, 2019","8.6430","8.6412","8.6540","8.6298","0.03%"
"Dec 25, 2019","8.6404","8.6362","8.6529","8.6260","0.06%"
"Dec 24, 2019","8.6355","8.6358","8.6410","8.6196","0.01%"
"Dec 23, 2019","8.6350","8.6383","8.6441","8.6194","-0.02%"
"Dec 20, 2019","8.6367","8.6676","8.6754","8.6280","-0.36%"
"Dec 19, 2019","8.6683","8.6544","8.6924","8.6536","0.16%"
"Dec 18, 2019","8.6544","8.6815","8.6862","8.6519","-0.31%"
"Dec 17, 2019","8.6815","8.6822","8.7061","8.6685","-0.02%"
"Dec 16, 2019","8.6835","8.6784","8.6939","8.6647","0.11%"
"Dec 13, 2019","8.6738","8.6852","8.7406","8.6638","-0.13%"
"Dec 12, 2019","8.6852","8.6907","8.7073","8.6652","-0.06%"
"Dec 11, 2019","8.6905","8.6815","8.7035","8.6479","0.09%"
"Dec 10, 2019","8.6826","8.6602","8.6866","8.6591","0.25%"
"Dec 09, 2019","8.6612","8.6564","8.6732","8.6533","0.03%"
"Dec 06, 2019","8.6585","8.6930","8.6994","8.6434","-0.40%"
"Dec 05, 2019","8.6937","8.6725","8.6971","8.6716","0.24%"
"Dec 04, 2019","8.6730","8.6769","8.7040","8.6642","-0.05%"
"Dec 03, 2019","8.6776","8.6730","8.6866","8.6633","0.06%"
"Dec 02, 2019","8.6726","8.6199","8.6833","8.6137","0.56%"
"Nov 29, 2019","8.6245","8.6167","8.6344","8.5946","0.09%"
"Nov 28, 2019","8.6167","8.6092","8.6267","8.6090","0.09%"
"Nov 27, 2019","8.6092","8.6273","8.6318","8.6041","-0.21%"
"Nov 26, 2019","8.6273","8.6193","8.6338","8.6145","0.09%"
"Nov 25, 2019","8.6194","8.6258","8.6356","8.6119","-0.08%"
"Nov 22, 2019","8.6266","8.6484","8.6737","8.6186","-0.24%"
"Nov 21, 2019","8.6476","8.6645","8.6789","8.6427","-0.19%"
