"Date","Price","Open","High","Low","Change %"
"Mar 08, 2020","1.3595","1.3498","1.3599","1.3490","1.28%"
"Mar 06, 2020","1.3424","1.3406","1.3439","1.3377","0.13%"
"Mar 05, 2020","1.3407","1.3386","1.3440","1.3381","0.16%"
"Mar 04, 2020","1.3386","1.3384","1.3434","1.3329","0.00%"
"Mar 03, 2020","1.3386","1.3325","1.3392","1.3316","0.47%"
"Mar 02, 2020","1.3324","1.3414","1.3446","1.3314","-0.55%"
"Feb 28, 2020","1.3398","1.3390","1.3466","1.3377","0.05%"
"Feb 27, 2020","1.3391","1.3333","1.3397","1.3315","0.44%"
"Feb 26, 2020","1.3332","1.3281","1.3337","1.3269","0.40%"
"Feb 25, 2020","1.3279","1.3294","1.3308","1.3265","-0.11%"
"Feb 24, 2020","1.3294","1.3248","1.3309","1.3234","0.53%"
"Feb 21, 2020","1.3224","1.3261","1.3270","1.3200","-0.26%"
"Feb 20, 2020","1.3259","1.3219","1.3269","1.3208","0.30%"
"Feb 19, 2020","1.3220","1.3262","1.3264","1.3213","-0.29%"
"Feb 18, 2020","1.3258","1.3233","1.3280","1.3231","0.17%"
"Feb 17, 2020","1.3235","1.3249","1.3256","1.3223","-0.14%"
"Feb 14, 2020","1.3253","1.3267","1.3270","1.3232","-0.11%"
"Feb 13, 2020","1.3268","1.3248","1.3271","1.3236","0.14%"
"Feb 12, 2020","1.3250","1.3284","1.3296","1.3232","-0.28%"
"Feb 11, 2020","1.3287","1.3316","1.3320","1.3273","-0.23%"
"Feb 10, 2020","1.3317","1.3303","1.3331","1.3287","0.04%"
"Feb 07, 2020","1.3312","1.3282","1.3319","1.3276","0.21%"
"Feb 06, 2020","1.3284","1.3279","1.3309","1.3265","0.03%"
"Feb 05, 2020","1.3280","1.3275","1.3304","1.3260","0.05%"
"Feb 04, 2020","1.3274","1.3286","1.3303","1.3261","-0.09%"
"Feb 03, 2020","1.3286","1.3239","1.3305","1.3229","0.38%"
"Jan 31, 2020","1.3236","1.3206","1.3253","1.3192","0.20%"
"Jan 30, 2020","1.3209","1.3197","1.3227","1.3187","0.08%"
"Jan 29, 2020","1.3198","1.3157","1.3211","1.3153","0.33%"
"Jan 28, 2020","1.3155","1.3193","1.3207","1.3151","-0.30%"
"Jan 27, 2020","1.3194","1.3146","1.3201","1.3146","0.39%"
"Jan 24, 2020","1.3143","1.3128","1.3154","1.3117","0.14%"
"Jan 23, 2020","1.3124","1.3134","1.3174","1.3122","-0.09%"
"Jan 22, 2020","1.3136","1.3067","1.3154","1.3034","0.51%"
"Jan 21, 2020","1.3069","1.3046","1.3081","1.3042","0.16%"
"Jan 20, 2020","1.3048","1.3062","1.3074","1.3042","-0.11%"
"Jan 17, 2020","1.3063","1.3040","1.3075","1.3031","0.16%"
"Jan 16, 2020","1.3042","1.3039","1.3058","1.3030","0.00%"
"Jan 15, 2020","1.3042","1.3061","1.3079","1.3032","-0.15%"
"Jan 14, 2020","1.3062","1.3056","1.3081","1.3045","0.05%"
"Jan 13, 2020","1.3056","1.3050","1.3068","1.3031","0.03%"
"Jan 10, 2020","1.3052","1.3055","1.3076","1.3027","-0.03%"
"Jan 09, 2020","1.3056","1.3040","1.3106","1.3024","0.13%"
"Jan 08, 2020","1.3039","1.3004","1.3045","1.2974","0.26%"
"Jan 07, 2020","1.3005","1.2961","1.3031","1.2954","0.31%"
"Jan 06, 2020","1.2965","1.2984","1.2992","1.2958","-0.28%"
"Jan 03, 2020","1.3001","1.2980","1.3009","1.2959","0.16%"
"Jan 02, 2020","1.2980","1.2987","1.3009","1.2968","-0.05%"
"Jan 01, 2020","1.2987","1.2983","1.2999","1.2978","-0.01%"
"Dec 31, 2019","1.2988","1.3070","1.3071","1.2949","-0.60%"
"Dec 30, 2019","1.3066","1.3077","1.3086","1.3048","-0.09%"
"Dec 27, 2019","1.3078","1.3125","1.3125","1.3062","-0.34%"
"Dec 26, 2019","1.3123","1.3165","1.3166","1.3101","-0.28%"
"Dec 25, 2019","1.3160","1.3166","1.3171","1.3150","-0.05%"
"Dec 24, 2019","1.3166","1.3143","1.3169","1.3138","0.16%"
"Dec 23, 2019","1.3145","1.3148","1.3178","1.3139","-0.02%"
"Dec 20, 2019","1.3148","1.3126","1.3183","1.3119","0.16%"
"Dec 19, 2019","1.3127","1.3112","1.3140","1.3106","0.09%"
"Dec 18, 2019","1.3115","1.3160","1.3177","1.3100","-0.34%"
"Dec 17, 2019","1.3160","1.3154","1.3187","1.3143","0.06%"
"Dec 16, 2019","1.3152","1.3170","1.3188","1.3112","-0.12%"
"Dec 13, 2019","1.3168","1.3187","1.3207","1.3150","-0.12%"
"Dec 12, 2019","1.3184","1.3176","1.3195","1.3160","0.08%"
