"Date","Price","Open","High","Low","Change %"
"Mar 08, 2020","7.7719","7.7726","7.7726","7.7719","-0.01%"
"Mar 06, 2020","7.7726","7.7718","7.7759","7.7681","0.01%"
"Mar 05, 2020","7.7722","7.7721","7.7747","7.7692","0.00%"
"Mar 04, 2020","7.7721","7.7706","7.7732","7.7649","0.02%"
"Mar 03, 2020","7.7706","7.7797","7.7846","7.7644","-0.12%"
"Mar 02, 2020","7.7797","7.7934","7.7957","7.7754","-0.20%"
"Feb 28, 2020","7.7950","7.7937","7.7989","7.7912","0.02%"
"Feb 27, 2020","7.7935","7.7932","7.7987","7.7923","0.01%"
"Feb 26, 2020","7.7930","7.7896","7.7954","7.7886","0.04%"
"Feb 25, 2020","7.7902","7.7944","7.7952","7.7873","-0.05%"
"Feb 24, 2020","7.7942","7.7869","7.7976","7.7866","0.09%"
"Feb 21, 2020","7.7874","7.7805","7.7944","7.7803","0.09%"
"Feb 20, 2020","7.7801","7.7725","7.7850","7.7709","0.10%"
"Feb 19, 2020","7.7725","7.7675","7.7736","7.7674","0.06%"
"Feb 18, 2020","7.7678","7.7680","7.7705","7.7667","-0.00%"
"Feb 17, 2020","7.7679","7.7679","7.7687","7.7659","-0.00%"
"Feb 14, 2020","7.7682","7.7676","7.7693","7.7664","0.01%"
"Feb 13, 2020","7.7672","7.7711","7.7713","7.7656","-0.05%"
"Feb 12, 2020","7.7710","7.7655","7.7718","7.7649","0.07%"
"Feb 11, 2020","7.7656","7.7656","7.7664","7.7630","-0.00%"
"Feb 10, 2020","7.7659","7.7663","7.7674","7.7646","-0.01%"
"Feb 07, 2020","7.7664","7.7646","7.7674","7.7602","0.02%"
"Feb 06, 2020","7.7646","7.7633","7.7649","7.7619","0.03%"
"Feb 05, 2020","7.7624","7.7658","7.7679","7.7621","-0.04%"
"Feb 04, 2020","7.7657","7.7660","7.7698","7.7648","-0.01%"
"Feb 03, 2020","7.7663","7.7650","7.7694","7.7649","0.02%"
"Jan 31, 2020","7.7649","7.7663","7.7707","7.7638","-0.02%"
"Jan 30, 2020","7.7664","7.7726","7.7740","7.7656","-0.08%"
"Jan 29, 2020","7.7728","7.7763","7.7771","7.7717","-0.04%"
"Jan 28, 2020","7.7756","7.7771","7.7797","7.7751","-0.02%"
"Jan 27, 2020","7.7770","7.7728","7.7778","7.7728","0.06%"
"Jan 24, 2020","7.7725","7.7718","7.7744","7.7711","0.01%"
"Jan 23, 2020","7.7720","7.7710","7.7751","7.7705","0.02%"
"Jan 22, 2020","7.7702","7.7703","7.7747","7.7671","0.00%"
"Jan 21, 2020","7.7702","7.7691","7.7749","7.7687","0.01%"
"Jan 20, 2020","7.7691","7.7679","7.7699","7.7660","0.02%"
"Jan 17, 2020","7.7679","7.7720","7.7735","7.7671","-0.05%"
"Jan 16, 2020","7.7720","7.7713","7.7752","7.7686","0.01%"
"Jan 15, 2020","7.7710","7.7771","7.7798","7.7703","-0.08%"
"Jan 14, 2020","7.7770","7.7706","7.7783","7.7706","0.08%"
"Jan 13, 2020","7.7707","7.7668","7.7752","7.7657","0.06%"
"Jan 10, 2020","7.7663","7.7673","7.7683","7.7625","-0.01%"
"Jan 09, 2020","7.7674","7.7755","7.7783","7.7653","-0.11%"
"Jan 08, 2020","7.7758","7.7785","7.7802","7.7735","-0.03%"
"Jan 07, 2020","7.7783","7.7695","7.7791","7.7693","0.11%"
"Jan 06, 2020","7.7697","7.7799","7.7831","7.7676","-0.12%"
"Jan 03, 2020","7.7793","7.7890","7.7903","7.7758","-0.12%"
"Jan 02, 2020","7.7887","7.7904","7.7956","7.7880","-0.02%"
"Jan 01, 2020","7.7901","7.7904","7.7904","7.7901","-0.00%"
"Dec 31, 2019","7.7904","7.7878","7.7934","7.7828","0.04%"
"Dec 30, 2019","7.7875","7.7870","7.7913","7.7857","0.01%"
"Dec 27, 2019","7.7866","7.7877","7.7897","7.7850","-0.02%"
"Dec 26, 2019","7.7879","7.7904","7.7905","7.7864","-0.03%"
"Dec 25, 2019","7.7905","7.7882","7.7908","7.7874","0.03%"
"Dec 24, 2019","7.7881","7.7875","7.7893","7.7843","0.01%"
"Dec 23, 2019","7.7877","7.7987","7.7991","7.7846","-0.10%"
"Dec 20, 2019","7.7956","7.7940","7.8018","7.7935","0.02%"
"Dec 19, 2019","7.7938","7.7874","7.8000","7.7865","0.08%"
"Dec 18, 2019","7.7876","7.7870","7.7906","7.7828","0.02%"
"Dec 17, 2019","7.7861","7.7922","7.7940","7.7857","-0.08%"
"Dec 16, 2019","7.7920","7.7993","7.8011","7.7866","-0.10%"
"Dec 13, 2019","7.7995","7.8038","7.8072","7.7907","-0.05%"
"Dec 12, 2019","7.8034","7.8083","7.8109","7.7981","-0.06%"
"Dec 11, 2019","7.8082","7.8273","7.8273","7.8078","-0.24%"
"Dec 10, 2019","7.8271","7.8281","7.8292","7.8254","-0.02%"
"Dec 09, 2019","7.8283","7.8296","7.8309","7.8270","-0.01%"
"Dec 06, 2019","7.8293","7.8290","7.8311","7.8281","0.00%"
"Dec 05, 2019","7.8290","7.8291","7.8298","7.8284","0.00%"
"Dec 04, 2019","7.8290","7.8299","7.8304","7.8281","-0.01%"
"Dec 03, 2019","7.8297","7.8284","7.8310","7.8282","0.02%"
"Dec 02, 2019","7.8280","7.8277","7.8300","7.8270","-0.01%"
"Nov 29, 2019","7.8284","7.8268","7.8290","7.8253","0.02%"
"Nov 28, 2019","7.8270","7.8272","7.8302","7.8263","-0.00%"
"Nov 27, 2019","7.8273","7.8289","7.8301","7.8266","-0.02%"
"Nov 26, 2019","7.8288","7.8259","7.8334","7.8256","0.04%"
"Nov 25, 2019","7.8258","7.8252","7.8289","7.8246","0.01%"
"Nov 22, 2019","7.8253","7.8204","7.8263","7.8200","0.07%"
"Nov 21, 2019","7.8202","7.8253","7.8290","7.8199","-0.06%"
"Nov 20, 2019","7.8247","7.8275","7.8297","7.8236","-0.03%"
"Nov 19, 2019","7.8273","7.8279","7.8305","7.8266","-0.01%"
"Nov 18, 2019","7.8277","7.8258","7.8312","7.8255","0.03%"
"Nov 15, 2019","7.8255","7.8271","7.8316","7.8254","-0.02%"
"Nov 14, 2019","7.8273","7.8283","7.8316","7.8261","-0.01%"
"Nov 13, 2019","7.8281","7.8288","7.8343","7.8277","-0.01%"
"Nov 12, 2019","7.8289","7.8258","7.8300","7.8252","0.05%"
"Nov 11, 2019","7.8253","7.8276","7.8352","7.8252","-0.02%"
"Nov 08, 2019","7.8270","7.8262","7.8289","7.8232","0.01%"
"Nov 07, 2019","7.8262","7.8270","7.8271","7.8228","-0.01%"
"Nov 06, 2019","7.8271","7.8322","7.8346","7.8228","-0.06%"
"Nov 05, 2019","7.8319","7.8373","7.8389","7.8310","-0.06%"
"Nov 04, 2019","7.8369","7.8361","7.8402","7.8360","0.01%"
"Nov 01, 2019","7.8361","7.8372","7.8387","7.8347","-0.02%"
"Oct 31, 2019","7.8373","7.8403","7.8411","7.8338","-0.03%"
"Oct 30, 2019","7.8400","7.8393","7.8415","7.8391","0.01%"
"Oct 29, 2019","7.8393","7.8396","7.8412","7.8389","-0.00%"
"Oct 28, 2019","7.8396","7.8374","7.8407","7.8374","0.03%"
"Oct 25, 2019","7.8374","7.8384","7.8395","7.8361","-0.01%"
"Oct 24, 2019","7.8379","7.8416","7.8420","7.8370","-0.04%"
"Oct 23, 2019","7.8411","7.8429","7.8433","7.8406","-0.02%"
"Oct 22, 2019","7.8427","7.8428","7.8441","7.8414","-0.00%"
"Oct 21, 2019","7.8430","7.8429","7.8442","7.8403","0.01%"
"Oct 18, 2019","7.8426","7.8445","7.8445","7.8418","-0.02%"
"Oct 17, 2019","7.8445","7.8445","7.8453","7.8431","-0.00%"
"Oct 16, 2019","7.8446","7.8452","7.8460","7.8434","-0.01%"
"Oct 15, 2019","7.8453","7.8452","7.8460","7.8435","0.00%"
"Oct 14, 2019","7.8453","7.8440","7.8457","7.8430","0.02%"
"Oct 11, 2019","7.8438","7.8418","7.8446","7.8402","0.02%"
"Oct 10, 2019","7.8419","7.8456","7.8457","7.8411","-0.05%"
"Oct 09, 2019","7.8456","7.8445","7.8459","7.8434","0.01%"
"Oct 08, 2019","7.8448","7.8429","7.8452","7.8423","0.03%"
"Oct 07, 2019","7.8425","7.8396","7.8449","7.8396","0.04%"
"Oct 04, 2019","7.8396","7.8415","7.8445","7.8392","-0.02%"
"Oct 03, 2019","7.8412","7.8439","7.8444","7.8407","-0.03%"
"Oct 02, 2019","7.8438","7.8431","7.8441","7.8392","0.01%"
"Oct 01, 2019","7.8430","7.8383","7.8433","7.8365","0.05%"
"Sep 30, 2019","7.8387","7.8402","7.8421","7.8377","-0.02%"
"Sep 27, 2019","7.8402","7.8380","7.8421","7.8379","0.03%"
"Sep 26, 2019","7.8380","7.8388","7.8399","7.8364","-0.01%"
"Sep 25, 2019","7.8389","7.8402","7.8418","7.8357","-0.02%"
"Sep 24, 2019","7.8402","7.8383","7.8419","7.8354","0.02%"
"Sep 23, 2019","7.8387","7.8377","7.8411","7.8365","0.01%"
"Sep 20, 2019","7.8381","7.8313","7.8425","7.8304","0.09%"
"Sep 19, 2019","7.8313","7.8312","7.8331","7.8236","0.01%"
"Sep 18, 2019","7.8309","7.8221","7.8312","7.8214","0.11%"
"Sep 17, 2019","7.8224","7.8186","7.8267","7.8164","0.04%"
"Sep 16, 2019","7.8189","7.8204","7.8281","7.8166","-0.02%"
"Sep 13, 2019","7.8206","7.8248","7.8284","7.8206","-0.05%"
"Sep 12, 2019","7.8244","7.8387","7.8394","7.8240","-0.18%"
"Sep 11, 2019","7.8384","7.8402","7.8424","7.8380","-0.02%"
"Sep 10, 2019","7.8398","7.8390","7.8425","7.8384","0.02%"
"Sep 09, 2019","7.8384","7.8396","7.8442","7.8381","-0.02%"
"Sep 06, 2019","7.8397","7.8382","7.8416","7.8369","0.02%"
"Sep 05, 2019","7.8381","7.8404","7.8414","7.8370","-0.03%"
"Sep 04, 2019","7.8407","7.8444","7.8455","7.8380","-0.04%"
"Sep 03, 2019","7.8442","7.8426","7.8451","7.8420","0.02%"
"Sep 02, 2019","7.8423","7.8433","7.8450","7.8398","-0.02%"
"Aug 30, 2019","7.8437","7.8460","7.8471","7.8341","-0.03%"
"Aug 29, 2019","7.8461","7.8443","7.8472","7.8419","0.02%"
"Aug 28, 2019","7.8443","7.8475","7.8480","7.8434","-0.04%"
"Aug 27, 2019","7.8475","7.8449","7.8482","7.8434","0.03%"
"Aug 26, 2019","7.8449","7.8431","7.8464","7.8405","0.02%"
"Aug 23, 2019","7.8431","7.8403","7.8441","7.8366","0.04%"
"Aug 22, 2019","7.8403","7.8438","7.8448","7.8374","-0.04%"
"Aug 21, 2019","7.8438","7.8426","7.8446","7.8408","0.02%"
"Aug 20, 2019","7.8426","7.8444","7.8460","7.8415","-0.02%"
"Aug 19, 2019","7.8445","7.8446","7.8468","7.8418","-0.00%"
"Aug 16, 2019","7.8448","7.8410","7.8450","7.8392","0.05%"
"Aug 15, 2019","7.8408","7.8453","7.8460","7.8316","-0.06%"
"Aug 14, 2019","7.8456","7.8468","7.8476","7.8442","-0.01%"
"Aug 13, 2019","7.8467","7.8465","7.8473","7.8438","-0.00%"
"Aug 12, 2019","7.8468","7.8426","7.8472","7.8393","0.06%"
"Aug 09, 2019","7.8422","7.8411","7.8434","7.8379","0.01%"
"Aug 08, 2019","7.8411","7.8404","7.8423","7.8365","0.00%"
"Aug 07, 2019","7.8410","7.8367","7.8437","7.8343","0.02%"
"Aug 06, 2019","7.8392","7.8464","7.8476","7.8290","-0.11%"
"Aug 05, 2019","7.8475","7.8296","7.8487","7.8259","0.23%"
"Aug 02, 2019","7.8293","7.8266","7.8304","7.8170","0.04%"
"Aug 01, 2019","7.8265","7.8281","7.8290","7.8248","-0.02%"
"Jul 31, 2019","7.8280","7.8238","7.8284","7.8229","0.05%"
"Jul 30, 2019","7.8239","7.8221","7.8246","7.8197","0.02%"
"Jul 29, 2019","7.8223","7.8179","7.8225","7.8137","0.04%"
"Jul 26, 2019","7.8191","7.8167","7.8199","7.8127","0.03%"
"Jul 25, 2019","7.8164","7.8145","7.8178","7.8129","0.02%"
"Jul 24, 2019","7.8147","7.8106","7.8153","7.8102","0.05%"
"Jul 23, 2019","7.8106","7.8099","7.8133","7.8080","0.00%"
"Jul 22, 2019","7.8103","7.8091","7.8112","7.8015","0.01%"
"Jul 19, 2019","7.8092","7.8158","7.8160","7.8029","-0.09%"
"Jul 18, 2019","7.8163","7.8148","7.8177","7.8095","0.03%"
"Jul 17, 2019","7.8136","7.8175","7.8190","7.8095","-0.05%"
"Jul 16, 2019","7.8172","7.8262","7.8276","7.8112","-0.11%"
"Jul 15, 2019","7.8260","7.8249","7.8296","7.8238","0.02%"
"Jul 12, 2019","7.8247","7.8229","7.8267","7.8207","0.02%"
